测试,#genre#

松视2台,https://flv3948069e.live.126.net/live/sytv_56830b3d6e8464f8479dde69be773622.flv
松视2台,http://253iptv.ml/dianshi/app.php?id=71  

松视3台,https://flv3948069e.live.126.net/live/sytv_ca330b8dfe8461e4b3bdde39ce773e83.flv
松视3台,http://253iptv.ml/dianshi/app.php?id=72 

潘多拉,https://flv3948069e.live.126.net/live/sytv_30630b464e846ca2cb9ddefe0e773e87.flv
潘多拉,http://253iptv.ml/dianshi/app.php?id=74 

新唐人加东臺,https://live.ntdimg.com/mllive860/playlist.m3u8

翡翠台,http://iptv.tvfix.org/hls/jade2.m3u8

翡翠台华丽台(简体),http://iptv.tvfix.org/hls/jadenhk2.m3u8

凤凰资讯,http://ott.js.chinamobile.com/TVOD/3/224/3221228098/index.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8

凤凰中文,http://ott.js.chinamobile.com/TVOD/3/224/3221228057/index.m3u8

凤凰香港,http://ott.js.chinamobile.com/TVOD/3/224/3221228060/index.m3u8

凤凰卫视,http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8

TJB SBS,http://1.245.74.5:1935/live/tv/.m3u8

KBS World,https://livecdn.fptplay.net/sdb/kbs_hls.smil/chunklist_b2500000.m3u8
